id,phase,crop,model,mode,strategy,use_fixmatch,strong_aug,lab_acc,field_acc,gap,class_f1
P1_01_baseline_tomato_mobilenetv3,P1,tomato,mobilenetv3,baseline,random,False,False,99.76,22.0,77.76,"{'tomato_bacterial_spot': 0.071, 'tomato_early_blight': 0.264, 'tomato_healthy': 0.091, 'tomato_late_blight': 0.377, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.269, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.235, 'macro avg': 0.145, 'weighted avg': 0.162}"
P1_02_baseline_tomato_efficientnet,P1,tomato,efficientnet,baseline,random,False,False,99.9,19.33,80.56,"{'tomato_bacterial_spot': 0.0, 'tomato_early_blight': 0.211, 'tomato_healthy': 0.0, 'tomato_late_blight': 0.449, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.267, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.0, 'macro avg': 0.103, 'weighted avg': 0.123}"
P1_03_baseline_tomato_mobilevit,P1,tomato,mobilevit,baseline,random,False,False,99.74,30.67,69.08,"{'tomato_bacterial_spot': 0.071, 'tomato_early_blight': 0.369, 'tomato_healthy': 0.235, 'tomato_late_blight': 0.4, 'tomato_leaf_mold': 0.129, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.478, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.0, 'macro avg': 0.187, 'weighted avg': 0.232}"
P1_04_baseline_potato_mobilenetv3,P1,potato,mobilenetv3,baseline,random,False,False,100.0,57.78,42.22,"{'potato_early_blight': 0.655, 'potato_healthy': 0.0, 'potato_late_blight': 0.457, 'macro avg': 0.371, 'weighted avg': 0.558}"
P1_05_baseline_potato_efficientnet,P1,potato,efficientnet,baseline,random,False,False,100.0,44.44,55.56,"{'potato_early_blight': 0.421, 'potato_healthy': 0.0, 'potato_late_blight': 0.5, 'macro avg': 0.307, 'weighted avg': 0.46}"
P1_06_baseline_potato_mobilevit,P1,potato,mobilevit,baseline,random,False,False,99.88,60.0,39.88,"{'potato_early_blight': 0.638, 'potato_healthy': 0.0, 'potato_late_blight': 0.585, 'macro avg': 0.408, 'weighted avg': 0.612}"
P1_07_baseline_pepper_mobilenetv3,P1,pepper,mobilenetv3,baseline,random,False,False,100.0,74.07,25.93,"{'pepper_bell_bacterial_spot': 0.821, 'pepper_bell_healthy': 0.533, 'macro avg': 0.677, 'weighted avg': 0.714}"
P1_08_baseline_pepper_efficientnet,P1,pepper,efficientnet,baseline,random,False,False,100.0,40.74,59.26,"{'pepper_bell_bacterial_spot': 0.2, 'pepper_bell_healthy': 0.529, 'macro avg': 0.365, 'weighted avg': 0.322}"
P1_09_baseline_pepper_mobilevit,P1,pepper,mobilevit,baseline,random,False,False,100.0,62.96,37.04,"{'pepper_bell_bacterial_spot': 0.615, 'pepper_bell_healthy': 0.643, 'macro avg': 0.629, 'weighted avg': 0.626}"
P1_10_baseline_all_mobilenetv3,P1,"tomato,potato,pepper",mobilenetv3,baseline,random,False,False,99.14,15.91,83.23,"{'pepper_bell_bacterial_spot': 0.0, 'pepper_bell_healthy': 0.14, 'potato_early_blight': 0.085, 'potato_healthy': 0.0, 'potato_late_blight': 0.0, 'tomato_bacterial_spot': 0.0, 'tomato_early_blight': 0.157, 'tomato_healthy': 0.125, 'tomato_late_blight': 0.31, 'tomato_leaf_mold': 0.061, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.222, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.0, 'macro avg': 0.079, 'weighted avg': 0.113}"
P1_11_baseline_all_efficientnet,P1,"tomato,potato,pepper",efficientnet,baseline,random,False,False,99.68,19.55,80.13,"{'pepper_bell_bacterial_spot': 0.0, 'pepper_bell_healthy': 0.267, 'potato_early_blight': 0.083, 'potato_healthy': 0.0, 'potato_late_blight': 0.0, 'tomato_bacterial_spot': 0.0, 'tomato_early_blight': 0.23, 'tomato_healthy': 0.091, 'tomato_late_blight': 0.367, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.244, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.0, 'macro avg': 0.092, 'weighted avg': 0.126}"
P1_12_baseline_all_mobilevit,P1,"tomato,potato,pepper",mobilevit,baseline,random,False,False,99.43,17.73,81.7,"{'pepper_bell_bacterial_spot': 0.0, 'pepper_bell_healthy': 0.111, 'potato_early_blight': 0.179, 'potato_healthy': 0.0, 'potato_late_blight': 0.0, 'tomato_bacterial_spot': 0.0, 'tomato_early_blight': 0.119, 'tomato_healthy': 0.118, 'tomato_late_blight': 0.345, 'tomato_leaf_mold': 0.2, 'tomato_mosaic_virus': 0.143, 'tomato_septoria_spot': 0.059, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.143, 'macro avg': 0.101, 'weighted avg': 0.132}"
P2_01_strongaug_tomato,P2,tomato,mobilenetv3,baseline,random,False,True,99.45,24.0,75.45,"{'tomato_bacterial_spot': 0.0, 'tomato_early_blight': 0.308, 'tomato_healthy': 0.345, 'tomato_late_blight': 0.345, 'tomato_leaf_mold': 0.08, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.162, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.276, 'macro avg': 0.168, 'weighted avg': 0.164}"
P2_02_strongaug_potato,P2,potato,mobilenetv3,baseline,random,False,True,99.77,62.22,37.55,"{'potato_early_blight': 0.636, 'potato_healthy': 0.0, 'potato_late_blight': 0.622, 'macro avg': 0.42, 'weighted avg': 0.629}"
P2_03_strongaug_pepper,P2,pepper,mobilenetv3,baseline,random,False,True,99.9,59.26,40.64,"{'pepper_bell_bacterial_spot': 0.56, 'pepper_bell_healthy': 0.621, 'macro avg': 0.59, 'weighted avg': 0.582}"
P3_01_AL_random_tomato,P3,tomato,mobilenetv3,active,random,False,False,0.0,19.33,-19.33,"{'tomato_bacterial_spot': 0.071, 'tomato_early_blight': 0.182, 'tomato_healthy': 0.24, 'tomato_late_blight': 0.407, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.226, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.0, 'macro avg': 0.125, 'weighted avg': 0.143}"
P3_02_AL_entropy_tomato,P3,tomato,mobilenetv3,active,entropy,False,False,0.0,21.33,-21.33,"{'tomato_bacterial_spot': 0.071, 'tomato_early_blight': 0.235, 'tomato_healthy': 0.0, 'tomato_late_blight': 0.448, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.136, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.375, 'macro avg': 0.141, 'weighted avg': 0.14}"
P3_03_AL_hybrid_tomato,P3,tomato,mobilenetv3,active,hybrid,False,False,0.0,24.0,-24.0,"{'tomato_bacterial_spot': 0.071, 'tomato_early_blight': 0.237, 'tomato_healthy': 0.211, 'tomato_late_blight': 0.433, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.255, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.353, 'macro avg': 0.173, 'weighted avg': 0.182}"
P3_04_AL_hybrid_potato,P3,potato,mobilenetv3,active,hybrid,False,False,0.0,57.78,-57.78,"{'potato_early_blight': 0.642, 'potato_healthy': 0.0, 'potato_late_blight': 0.486, 'macro avg': 0.376, 'weighted avg': 0.566}"
P4_01_fixmatch_tomato,P4,tomato,mobilenetv3,active,hybrid,True,False,0.0,27.33,-27.33,"{'tomato_bacterial_spot': 0.061, 'tomato_early_blight': 0.182, 'tomato_healthy': 0.077, 'tomato_late_blight': 0.483, 'tomato_leaf_mold': 0.0, 'tomato_mosaic_virus': 0.222, 'tomato_septoria_spot': 0.4, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.39, 'macro avg': 0.202, 'weighted avg': 0.223}"
P4_02_fixmatch_potato,P4,potato,mobilenetv3,active,hybrid,True,False,0.0,60.0,-60.0,"{'potato_early_blight': 0.571, 'potato_healthy': 0.0, 'potato_late_blight': 0.625, 'macro avg': 0.399, 'weighted avg': 0.598}"
P4_03_fixmatch_pepper,P4,pepper,mobilenetv3,active,hybrid,True,False,0.0,81.48,-81.48,"{'pepper_bell_bacterial_spot': 0.848, 'pepper_bell_healthy': 0.762, 'macro avg': 0.805, 'weighted avg': 0.816}"
P5_01_efficientnet_tomato_fixmatch,P5,tomato,efficientnet,active,hybrid,True,False,0.0,42.0,-42.0,"{'tomato_bacterial_spot': 0.34, 'tomato_early_blight': 0.538, 'tomato_healthy': 0.529, 'tomato_late_blight': 0.5, 'tomato_leaf_mold': 0.606, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.36, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.462, 'macro avg': 0.371, 'weighted avg': 0.412}"
P5_02_mobilevit_tomato_fixmatch,P5,tomato,mobilevit,active,hybrid,True,False,0.0,37.33,-37.33,"{'tomato_bacterial_spot': 0.286, 'tomato_early_blight': 0.48, 'tomato_healthy': 0.621, 'tomato_late_blight': 0.541, 'tomato_leaf_mold': 0.286, 'tomato_mosaic_virus': 0.0, 'tomato_septoria_spot': 0.367, 'tomato_spider_mites': 0.0, 'tomato_yellow_leaf_curl': 0.435, 'macro avg': 0.335, 'weighted avg': 0.364}"
P5_03_efficientnet_potato_fixmatch,P5,potato,efficientnet,active,hybrid,True,False,0.0,60.0,-60.0,"{'potato_early_blight': 0.585, 'potato_healthy': 0.0, 'potato_late_blight': 0.625, 'macro avg': 0.403, 'weighted avg': 0.605}"
P5_04_mobilevit_potato_fixmatch,P5,potato,mobilevit,active,hybrid,True,False,0.0,57.78,-57.78,"{'potato_early_blight': 0.55, 'potato_healthy': 0.0, 'potato_late_blight': 0.612, 'macro avg': 0.387, 'weighted avg': 0.58}"
