exp_dir,exp_name,phase,crop,model,mode,strategy,use_fixmatch,strong_aug,epochs,lr,seed,lab_acc,field_acc,gap,final_labels
P1_01_baseline_tomato_mobilenetv3_20251213_171622,P1_01_baseline_tomato_mobilenetv3,P1,tomato,mobilenetv3,baseline,random,False,False,10,0.001,42,97.48071979434447,22.388059701492537,75.09266009285193,0
P1_02_baseline_tomato_efficientnet_20251213_172929,P1_02_baseline_tomato_efficientnet,P1,tomato,efficientnet,baseline,random,False,False,10,0.001,42,99.38303341902314,24.62686567164179,74.75616774738134,0
P1_03_baseline_tomato_mobilevit_20251213_174417,P1_03_baseline_tomato_mobilevit,P1,tomato,mobilevit,baseline,random,False,False,10,0.001,42,98.40616966580977,23.88059701492537,74.5255726508844,0
P1_04_baseline_potato_mobilenetv3_20251213_180029,P1_04_baseline_potato_mobilenetv3,P1,potato,mobilenetv3,baseline,random,False,False,10,0.001,42,100.0,51.11111111111111,48.88888888888889,0
P1_05_baseline_potato_efficientnet_20251213_180331,P1_05_baseline_potato_efficientnet,P1,potato,efficientnet,baseline,random,False,False,10,0.001,42,100.0,60.0,40.0,0
P1_06_baseline_potato_mobilevit_20251213_180656,P1_06_baseline_potato_mobilevit,P1,potato,mobilevit,baseline,random,False,False,10,0.001,42,100.0,62.22222222222222,37.77777777777778,0
P1_07_baseline_pepper_mobilenetv3_20251213_181040,P1_07_baseline_pepper_mobilenetv3,P1,pepper,mobilenetv3,baseline,random,False,False,10,0.001,42,99.79797979797979,48.148148148148145,51.64983164983165,0
P1_08_baseline_pepper_efficientnet_20251213_181406,P1_08_baseline_pepper_efficientnet,P1,pepper,efficientnet,baseline,random,False,False,10,0.001,42,100.0,51.85185185185185,48.14814814814815,0
P1_09_baseline_pepper_mobilevit_20251213_181800,P1_09_baseline_pepper_mobilevit,P1,pepper,mobilevit,baseline,random,False,False,10,0.001,42,99.79797979797979,81.48148148148148,18.31649831649831,0
P1_10_baseline_all_mobilenetv3_20251213_182213,P1_10_baseline_all_mobilenetv3,P1,"tomato,potato,pepper",mobilenetv3,baseline,random,False,False,10,0.001,42,98.397212543554,12.682926829268293,85.71428571428571,0
P1_11_baseline_all_efficientnet_20251213_184133,P1_11_baseline_all_efficientnet,P1,"tomato,potato,pepper",efficientnet,baseline,random,False,False,10,0.001,42,99.09407665505226,15.121951219512194,83.97212543554006,0
P1_12_baseline_all_mobilevit_20251213_190322,P1_12_baseline_all_mobilevit,P1,"tomato,potato,pepper",mobilevit,baseline,random,False,False,10,0.001,42,98.50174216027875,13.658536585365855,84.8432055749129,0
P2_01_strongaug_tomato_20251213_204139,P2_01_strongaug_tomato,P2,tomato,mobilenetv3,baseline,random,False,True,10,0.001,42,97.94344473007712,17.91044776119403,80.03299696888308,0
P2_02_strongaug_potato_20251213_204844,P2_02_strongaug_potato,P2,potato,mobilenetv3,baseline,random,False,True,10,0.001,42,100.0,55.55555555555556,44.44444444444444,0
P2_03_strongaug_pepper_20251213_205026,P2_03_strongaug_pepper,P2,pepper,mobilenetv3,baseline,random,False,True,10,0.001,42,100.0,55.55555555555556,44.44444444444444,0
P3_01_AL_random_tomato_20251213_205220,P3_01_AL_random_tomato,P3,tomato,mobilenetv3,active,random,False,False,5,0.0001,42,0.0,30.597014925373134,-30.597014925373134,50
P3_02_AL_entropy_tomato_20251213_205313,P3_02_AL_entropy_tomato,P3,tomato,mobilenetv3,active,entropy,False,False,5,0.0001,42,0.0,29.850746268656714,-29.850746268656714,50
P3_03_AL_hybrid_tomato_20251213_205450,P3_03_AL_hybrid_tomato,P3,tomato,mobilenetv3,active,hybrid,False,False,5,0.0001,42,0.0,31.343283582089555,-31.343283582089555,50
P3_04_AL_hybrid_potato_20251213_205632,P3_04_AL_hybrid_potato,P3,potato,mobilenetv3,active,hybrid,False,False,5,0.0001,42,0.0,60.0,-60.0,50
P4_01_fixmatch_potato_20251213_193110,P4_01_fixmatch_potato,P4,potato,mobilenetv3,active,hybrid,True,False,15,0.001,42,0.0,53.333333333333336,-53.333333333333336,50
P4_02_fixmatch_tomato_20251213_193637,P4_02_fixmatch_tomato,P4,tomato,mobilenetv3,active,hybrid,True,False,15,0.001,42,0.0,32.08955223880597,-32.08955223880597,50
P4_03_fixmatch_pepper_20251213_194306,P4_03_fixmatch_pepper,P4,pepper,mobilenetv3,active,hybrid,True,False,15,0.001,42,0.0,62.96296296296296,-62.96296296296296,50
P5_01_efficientnet_potato_fixmatch_20251213_195753,P5_01_efficientnet_potato_fixmatch,P5,potato,efficientnet,active,hybrid,True,False,15,0.001,42,0.0,62.22222222222222,-62.22222222222222,50
P5_02_mobilevit_potato_fixmatch_20251213_200351,P5_02_mobilevit_potato_fixmatch,P5,potato,mobilevit,active,hybrid,True,False,15,0.0005,42,0.0,64.44444444444444,-64.44444444444444,50
P5_03_efficientnet_tomato_fixmatch_20251213_201000,P5_03_efficientnet_tomato_fixmatch,P5,tomato,efficientnet,active,hybrid,True,False,15,0.001,42,0.0,35.82089552238806,-35.82089552238806,50
P5_04_mobilevit_tomato_fixmatch_20251213_201658,P5_04_mobilevit_tomato_fixmatch,P5,tomato,mobilevit,active,hybrid,True,False,15,0.0005,42,0.0,33.582089552238806,-33.582089552238806,50
